"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
35,"NCT01034462","Safety and Efficacy of Levomilnacipran ER (F2695 SR) in Major Depressive Disorder",,"Completed","Has Results","Major Depressive Disorder","Drug: Levomilnacipran ER|Drug: Placebo","Change in Montgomery-Asberg Depression Rating Scale (MADRS) Total Score|Change in Sheehan Disability Scale (SDS) Total Score","Forest Laboratories","All","18 Years to 80 Years   (Adult, Older Adult)","Phase 3","442","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","LVM-MD-03","December 2009","December 2011","December 2011","December 17, 2009","October 25, 2013","October 25, 2013","Forest Investigative Site 055, Dothan, Alabama, United States|Forest Investigative Site 065, Highlands Ranch, Colorado, United States|Forest Investigative Site 057, Boca Raton, Florida, United States|Forest Investigative Site 060, Boca Raton, Florida, United States|Forest Investigative Site 064, Gainesville, Florida, United States|Forest Investigative Site 053, Ocala, Florida, United States|Forest Investigative Site 061, Orlando, Florida, United States|Forest Investigative Site 059, Winter Park, Florida, United States|Forest Investigative Site 070, Atlanta, Georgia, United States|Forest Investigative Site 066, Smyrna, Georgia, United States|Forest Investigative Site 072, Chicago, Illinois, United States|Forest Investigative Site 050, Oakbrook, Illinois, United States|Forest Investigative Site 063, Indianapolis, Indiana, United States|Forest Investigative Site 071, Prairie Village, Kansas, United States|Forest Investigative Site 052, Shreveport, Louisiana, United States|Forest Investigative Site 051, Brooklyn, New York, United States|Forest Investigative Site 056, Oklahoma City, Oklahoma, United States|Forest Investigative Site 067, Oklahoma City, Oklahoma, United States|Forest Investigative Site 058, Salem, Oregon, United States|Forest Investigative Site 054, Allentown, Pennsylvania, United States|Forest Investigative Site 062, San Antonio, Texas, United States|Forest Investigative Site 068, Virginia Beach, Virginia, United States|Forest Investigative Site 069, Spokane, Washington, United States",,"https://ClinicalTrials.gov/show/NCT01034462"
36,"NCT04006834","Hypersomnia in Major Depressive Disorder",,"Recruiting","No Results Available","Major Depressive Disorder","Other: No intervention involved","Hypersomnia|Depression severity|Fatigue|Function as indicated quality of life","Chinese University of Hong Kong","All","18 Years to 64 Years   (Adult)",,"350","Other","Observational","Observational Model: Case-Control|Time Perspective: Prospective","CREC2018.317","July 1, 2019","February 28, 2020","August 31, 2020","July 5, 2019",,"September 6, 2019","Department of psychiatry, Faculty of Medicine, The Chinese University of Hong Kong, Hong Kong, Hong Kong",,"https://ClinicalTrials.gov/show/NCT04006834"
37,"NCT00969150","Safety and Efficacy of Levomilnacipran ER (F2695 SR) in Major Depressive Disorder",,"Completed","Has Results","Major Depressive Disorder","Drug: Levomilnacipran ER|Drug: Placebo","Change in Montgomery-Asberg Depression Rating Scale (MADRS) Total Score|Change in Sheehan Disability Scale (SDS) Total Score","Forest Laboratories","All","18 Years to 80 Years   (Adult, Older Adult)","Phase 3","362","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Outcomes Assessor)|Primary Purpose: Treatment","LVM-MD-02","September 2009","November 2010",,"September 1, 2009","October 25, 2013","October 25, 2013","Forest Investigative Site, Scottsdale, Arizona, United States|Forest Investigative Site, Encino, California, United States|Forest Investigative Site, Los Alamitos, California, United States|Forest Investigative Site, Oceanside, California, United States|Forest Investigative Site, Denver, Colorado, United States|Forest Investigative Site, Denver, Colorado, United States|Forest Investigative Site, Jacksonville, Florida, United States|Forest Investigative Site, Orlando, Florida, United States|Forest Investigative Site, Chicago, Illinois, United States|Forest Investigative Site, Wichita, Kansas, United States|Forest Investigative Site, Glen Burnie, Maryland, United States|Forest Investigative Site, Fall River, Massachusetts, United States|Forest Investigative Site, East Lansing, Michigan, United States|Forest Investigative Site, Cherry Hill, New Jersey, United States|Forest Investigative Site, Brooklyn, New York, United States|Forest Investigative Site, New York, New York, United States|Forest Investigative Site, Staten Island, New York, United States|Forest Investigative Site 013, Canton, Ohio, United States|Forest Investigative Site, Dayton, Ohio, United States|Forest Investigative Site, Portland, Oregon, United States|Forest Investigative Site, Philadelphia, Pennsylvania, United States|Forest Investigative Site, Lincoln, Rhode Island, United States|Forest Investigative Site, Woodstock, Vermont, United States|Forest Investigative Site, Bellevue, Washington, United States|Forest Investigative Site, Seattle, Washington, United States",,"https://ClinicalTrials.gov/show/NCT00969150"
38,"NCT00969709","Safety and Efficacy of Levomilnacipran ER (F2695 SR) in Major Depressive Disorder",,"Completed","Has Results","Major Depressive Disorder","Drug: Levomilnacipran ER|Drug: Placebo","Change in Montgomery-Åsberg Depression Rating Scale (MADRS) Total Score|Change in Sheehan Disability Scale (SDS) Total Score","Forest Laboratories","All","18 Years to 65 Years   (Adult, Older Adult)","Phase 3","724","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","LVM-MD-01","September 2009","May 2011",,"September 1, 2009","October 25, 2013","October 25, 2013","Forest Investigative Site, Phoenix, Arizona, United States|Forest Investigative Site, Scottsdale, Arizona, United States|Forest Investigative Site, Beverly Hills, California, United States|Forest Investigative Site, Costa Mesa, California, United States|Forest Investigative Site, Escondido, California, United States|Forest Investigative Site, Oceanside, California, United States|Forest Investigative Site, Sherman Oaks, California, United States|Forest Investigative Site, Denver, Colorado, United States|Forest Investigative Site, Cromwell, Connecticut, United States|Forest Investigative Site, Coral Springs, Florida, United States|Forest Investigative Site, Fort Myers, Florida, United States|Forest Investigative Site, Hallandale Beach, Florida, United States|Forest Investigative Site, Jacksonville, Florida, United States|Forest Investigative Site, Orlando, Florida, United States|Forest Investigative Site, West Palm Beach, Florida, United States|Forest Investigative Site, Hoffman Estates, Illinois, United States|Forest Investigative Site, Wichita, Kansas, United States|Forest Investigative Site, Baltimore, Maryland, United States|Forest Investigative Site, Rockville, Maryland, United States|Forest Investigative Site, Cherry Hill, New Jersey, United States|Forest Investigative Site, Willingboro, New Jersey, United States|Forest Investigative Site, Brooklyn, New York, United States|Forest Investigative Site, Mt. Kisco, New York, United States|Forest Investigative Site, New York, New York, United States|Forest Investigative Site, New York, New York, United States|Forest Investigative Site, Staten Island, New York, United States|Forest Investigative Site, Raleigh, North Carolina, United States|Forest Investigative Site, Canton, Ohio, United States|Forest Investigative Site, Portland, Oregon, United States|Forest Investigative Site, Media, Pennsylvania, United States|Forest Investigative Site, Norristown, Pennsylvania, United States|Forest Investigative Site, Lincoln, Rhode Island, United States|Forest Investigative Site, Memphis, Tennessee, United States|Forest Investigative Site, Dallas, Texas, United States|Forest Investigative Site, Dallas, Texas, United States|Forest Investigative Site, San Antonio, Texas, United States|Forest Investigative Site, Bellevue, Washington, United States|Forest Investigative Site, Seattle, Washington, United States",,"https://ClinicalTrials.gov/show/NCT00969709"
39,"NCT04392947","Treatment of Major Depressive Disorder With Bilateral Theta Burst Stimulation","TBS-D","Active, not recruiting","No Results Available","Major Depressive Disorder","Device: Transcranial Magnetic Stimulation|Device: Sham Transcranial Magnetic Stimulation","Response rate of Montgomery-Asberg Depression Rating Scale (MADRS)|Remission rate after treatment|Reduction of raw score: Montgomery-Asberg Depression Rating Scale (MADRS)|Reduction of raw score: Hamilton Depression Rating Scale 17 items (HDRS17)|Reduction of raw score: Clinical Global Impression (CGI)|Reduction of raw score: Beck Depression Inventory (BDI-II)|Reduction of raw score: WHO-5 well-being index|Work Productivity and Activity Impairment Questionnaire (WPAI)|Frequency of adverse events|Deterioration rate after treatment period|Examination of the influence of Childhood Trauma Questionnaire (CTQ) at baseline as possible predictor for change of MADRS|Examination of the influence of cognitive performance at baseline as possible predictor for change of MADRS","University Hospital Tuebingen|Federal Ministry of Health, Germany|Institute of Clinical Epidemiology and applied Biometry, University Tuebingen, Germany|Center of Clinical Trials, University Tuebingen, Germany|University of Ulm|Department of Psychiatry and Psychotherapy, University Regensburg, Germany|Department of Psychiatry and Psychotherapy, University Wuerzburg, Germany|Department of Psychiatry and Psychotherapy, University Munich (LMU), Germany","All","18 Years to 70 Years   (Adult, Older Adult)","Not Applicable","236","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","01KG2003","September 29, 2020","January 2023","April 2023","May 19, 2020",,"December 3, 2020","University of Munich, Munich, Germany|University of Regensburg, Dept. Psychiatry and Psychotherapy, Regensburg, Germany|University of Tuebingen, Dept Psychiatry and Psychotherapy, Tuebingen, Germany|University of Um, Dept. Psychiatry and Psychotherapy, Ulm, Germany",,"https://ClinicalTrials.gov/show/NCT04392947"
40,"NCT03188185","A Study of ALKS 5461 for Treatment Refractory Major Depressive Disorder (MDD)",,"Completed","Has Results","Major Depressive Disorder","Drug: ALKS 5461|Drug: ALKS 5461 Placebo","Change From Baseline to the End of Treatment (EOT) in the Montgomery Asberg Depression Rating Scale-10 (MADRS-10) Scores|Montgomery Asberg Depression Rating Scale (MADRS) Response Rate|Montgomery Asberg Depression Rating Scale (MADRS) Remission Rate","Alkermes, Inc.","All","18 Years to 70 Years   (Adult, Older Adult)","Phase 3","278","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","ALK5461-217","June 12, 2017","February 26, 2020","March 5, 2020","June 15, 2017","March 15, 2021","April 8, 2021","Alkermes Investigational Site, Tucson, Arizona, United States|Alkermes Investigational Site, Little Rock, Arkansas, United States|Alkermes Investigational Site, Los Alamitos, California, United States|Alkermes Investigational Site, Oceanside, California, United States|Alkermes Investigational Site, Pico Rivera, California, United States|Alkermes Investigational Site, Redlands, California, United States|Alkermes Investigational Site, Santa Ana, California, United States|Alkermes Investigational Site, Sherman Oaks, California, United States|Alkermes Investigational Site, Temecula, California, United States|Alkermes Investigative Site, Upland, California, United States|Alkermes Investigational Site, Hollywood, Florida, United States|Alkermes Investigational Site, Jacksonville, Florida, United States|Alkermes Investigational Site, Lauderhill, Florida, United States|Alkermes Investigational Site, Orlando, Florida, United States|Alkermes Investigative Site, Palm Bay, Florida, United States|Alkermes Investigational Site, Atlanta, Georgia, United States|Alkermes Investigational Site, Decatur, Georgia, United States|Alkermes Investigational Site, Pikesville, Maryland, United States|Alkermes Investigational Site, O'Fallon, Missouri, United States|Alkermes Investigational Site, Jamaica, New York, United States|Alkermes Investigational Site, Mount Kisco, New York, United States|Alkermes Investigational Site, Canton, Ohio, United States|Alkermes Investigational Site, Cincinnati, Ohio, United States|Alkermes Investigational Site, Oklahoma City, Oklahoma, United States|Alkermes Investigational Site, Allentown, Pennsylvania, United States|Alkermes Investigational Site, Memphis, Tennessee, United States|Alkermes Investigational Site, Dallas, Texas, United States|Alkermes Investigational Site, DeSoto, Texas, United States|Alkermes Investigational Site, Woodstock, Vermont, United States|Alkermes Investigative Site, Bellevue, Washington, United States|Alkermes Investigational Site, Frankston, Victoria, Australia|Alkermes Investigational Site, Noble Park, Victoria, Australia|Alkermes Investigational Site, Richmond, Victoria, Australia|Alkermes Investigational Site, San Juan, Puerto Rico|Alkermes Investigational Site, San Juan, Puerto Rico","""Study Protocol"", https://ClinicalTrials.gov/ProvidedDocs/85/NCT03188185/Prot_000.pdf|""Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/85/NCT03188185/SAP_001.pdf","https://ClinicalTrials.gov/show/NCT03188185"
41,"NCT00570050","Effect of Intranasal Insulin on Depressive Symptoms in Major Depressive Disorder",,"Completed","No Results Available","Major Depressive Disorder","Drug: Diluent / Insulin|Drug: Insulin / Diluent","Montgomery-Asberg Depression Rating Scale|Affective Go/No-Go and Emotional Recognition Tasks; CGI Severity of Illness, Improvements in subjective mood (PANAS) and quality of life (Q-LES-Q)","University Health Network, Toronto|McMaster University","All","18 Years to 60 Years   (Adult)","Phase 3","35","Other","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","Insulin-MDD","June 2013","September 2014","September 2014","December 10, 2007",,"February 24, 2015","Toronto Western Hospital, Toronto, Ontario, Canada",,"https://ClinicalTrials.gov/show/NCT00570050"
42,"NCT00797966","Study of the Safety and Efficacy of OPC-34712 as Adjunctive Therapy in the Treatment of Patients With Major Depressive Disorder",,"Completed","Has Results","Major Depressive Disorder","Drug: OPC-34712|Drug: Placebo|Drug: ADT","Change From the End of Phase A (Week 8 Visit) to the End of Phase B (Week 14 Visit) in Montgomery Asberg Depression Rating Scale (MADRS) Total Score.|Change From End of Phase A (Week 8 Visit) to End of Phase B (Week 14 Visit) in Mean Clinical Global Impression - Severity of Illness Scale (CGI-S) Score.|Change From End of Phase A (Week 8 Visit) to End of Phase B (Week 14 Visit) in Mean Quality of Life, Enjoyment, and Satisfaction Questionnaire - Short Form (QLES-Q-SF) Subscale Score - the Overall General Subscore (Sum of First 14 Items).|Change From End of Phase A (Week 8 Visit) to End of Phase B (Week 14 Visit) in Sheehan Disability Scale (SDS) Mean Score (the Mean of 3 Individual Item Scores).|Change From End of Phase A (Week 8 Visit) in MADRS Total Score for Every Study Week Visit in Phase B Other Than the Week 14 Visit.|Change From End of Phase A (Week 8 Visit) in Mean CGI-S Score for Every Study Week Visit in Phase B Other Than the Week 14 Visit.|Change From End of Phase A (Week 8 Visit) to End of Phase B (Week 14 Visit) in Mean Q-LES-Q-SF Item 15 Score (Satisfaction With Medication).|Change From End of Phase A (Week 8 Visit) to End of Phase B (Week 14 Visit) in Mean Q-LES-Q-SF Item 16 Score (Overall Life Satisfaction).|Change From End of Phase A (Week 8 Visit) for Every Study Week Visit in Phase B in Inventory of Depressive Symptomatology (Self-Report) (IDS-SR) Total Score.|Change From End of Phase A (Week 8 Visit) to End of Phase B (Week 14 Visit) in Hamilton Depression Rating Scale (HAM-D17) Score.|Clinical Global Impression-Improvement Scale (CGI-I) Score at Each Study Week Visit in Phase B.|Percentage of Participants With MADRS Response From End of Phase A (Week 8 Visit).|Percentage of Participants With MADRS Remission From End of Phase A (Week 8 Visit).|Percentage of Participants With CGI-I Response From End of Phase A (Week 8 Visit).","Otsuka Pharmaceutical Development & Commercialization, Inc.","All","18 Years to 65 Years   (Adult, Older Adult)","Phase 2","850","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","331-08-211","May 2009","June 2010","July 2010","November 25, 2008","December 3, 2015","February 29, 2016","Pacific Clinical Research Medical Group, Arcadia, California, United States|Southwestern Research, Beverly Hills, California, United States|Synergy Escondido, Escondido, California, United States|Collaborative Neuroscience Network Inc., Garden Grove, California, United States|Synergy Clinical Research Center, National City, California, United States|Excell Research, Oceanside, California, United States|Affiliated Research Institute, San Diego, California, United States|California Neuroscience Research Medical Group, Inc., Sherman Oaks, California, United States|Radiant Research Center, Denver, Colorado, United States|Florida Clinical Research Center, LLC, Bradenton, Florida, United States|CNS Clinical Research Group, Coral Springs, Florida, United States|Gulfcoast Clinical Research Center, Fort Myers, Florida, United States|Clinical Neuroscience Solutions, Inc., Jacksonville, Florida, United States|Accurate Clinical Trials, Kissimee, Florida, United States|Clinical Neurosciences Solutions, Orlando, Florida, United States|Stedman Clinical Trials, Tampa, Florida, United States|University of South Florida College of Medicine Psychiatry Center, Tampa, Florida, United States|Janus Center, West Palm Beach, Florida, United States|Carman Research, Smyrna, Georgia, United States|Uptown Research Institute, Chicago, Illinois, United States|Midwest Center for Neurobehavioral Medicine, Oakbrook Terrace, Illinois, United States|The Davis Clinic, PC, Indianapolis, Indiana, United States|Vince & Associates Clinical Research, Overland Park, Kansas, United States|Pharmasite Research, Inc., Baltimore, Maryland, United States|Bioscience Research, Mount Kisco, New York, United States|Eastside Comprehensive Medical Center, New York City, New York, United States|Medical & Behavioral Health Research, PC, New York, New York, United States|Finger Lakes Clinical Research, Rochester, New York, United States|Carolinas HealthCare - Behavioral Heath Center, Charlotte, North Carolina, United States|NorthCoast Clinical Trials, Inc, Beachwood, Ohio, United States|Neuro-Behavioral Clinical Research, Inc, Canton, Ohio, United States|Patient Priority Clinical Sites, LLC, Cinncinnati, Ohio, United States|Midwest Clinical Research Center, Dayton, Ohio, United States|NorthStar Medical Research, LLC, Middleburg Heights, Ohio, United States|Summitt Research Network (Oregon), Portland, Oregon, United States|Suburban Research Associates, Media, Pennsylvania, United States|University of Pennsylvania, Philadelphia, Pennsylvania, United States|USC School of Medicine- Department of Neuropsychiatry and Behavioral Science, Columbia, South Carolina, United States|Clinical Neurosciences Solutions, Inc., Memphis, Tennessee, United States|Community Clinical Research, Inc., Austin, Texas, United States|FutureSearch Clinical Trials, Austin, Texas, United States|Radiant Research, Salt Lake City, Utah, United States|Mood Disorders Clinic, Salt Lake City, Utah, United States|Psychiatric Alliance of the Blue Ridge, Charlottesville, Virginia, United States|NeuroScience, Inc., Herndon, Virginia, United States|Dominion Clinical Research, Midlothian, Virginia, United States|Northwest Clinical Research Center, Bellevue, Washington, United States|Summit Research Network (Seattle) LLC, Seattle, Washington, United States|Northbrooke Research Center, Brown Deer, Wisconsin, United States|Dean Foundation, Middleton, Wisconsin, United States",,"https://ClinicalTrials.gov/show/NCT00797966"
43,"NCT02012218","Brexpiprazole as Adjunctive Therapy With Major Depressive Disorder and an Inadequate Response to Previous Adjunctive Therapy",,"Completed","Has Results","Major Depressive Disorder (MDD)","Drug: ADT|Drug: Brexpiprazole","Mean Change From Baseline to Week 6 in Montgomery-Asberg Depression Rating Scale (MADRS) Total Score","Otsuka Pharmaceutical Development & Commercialization, Inc.|Otsuka Pharmaceutical Co., Ltd.","All","18 Years to 65 Years   (Adult, Older Adult)","Phase 3","61","Industry","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","331-13-001","November 2013","October 2014","October 2014","December 16, 2013","October 8, 2015","December 29, 2015","Collaborative NeuroScience Network, Inc., Garden Grove, California, United States|Viking Clinical Research, Ltd., Temecula, California, United States|Clinical Neuroscience Solutions Pharmacology, Orlando, Florida, United States|Carman Research, Smyrna, Georgia, United States|Goldpoint Clinical Research, Indianapolis, Indiana, United States|Alpine Clinic, Lafayette, Indiana, United States|Pharmasite Research, Baltimore, Maryland, United States|Boston Clinical Trials, Boston, Massachusetts, United States|Coastal Research Associates, Inc., Weymouth, Massachusetts, United States|Rochester Center for Behavioral Medicine, Rochester Hills, Michigan, United States|St. Louis Clinical Trials, St. Louis, Missouri, United States|Center for Emotional Fitness, Cherry Hill, New Jersey, United States|Behavioral Medical Research of Staten Island, Staten Island, New York, United States|Richard H. Weisler, MD, PA, Raleigh, North Carolina, United States|Midwest Clinical Research Center MCRC, Dayton, Ohio, United States|Cutting Edge Research Group, Oklahoma City, Oklahoma, United States|Oregon Center for Clinical Investigations, Inc., Portland, Oregon, United States|Oregon Center for Clinical Investigations, Inc., Salem, Oregon, United States|Lehigh Center for Clinical Research, Allentown, Pennsylvania, United States|Lincoln Research, LLC, Lincoln, Rhode Island, United States|Research Strategies of Memphis, LLC, Memphis, Tennessee, United States|Future Search Trials of Dallas, LP, Dallas, Texas, United States|NeuropsychiatricAssociates, Woodstock, Vermont, United States|Frontier Institute, Spokane, Washington, United States",,"https://ClinicalTrials.gov/show/NCT02012218"
44,"NCT00705185","Exploring a Potential Blood Test to Diagnose Major Depressive Disorder","Bio-TestMDD","Completed","No Results Available","Major Depressive Disorder",,"16 Biological Markers; Group comparison between adults with Major Depressive Disorder and healthy controls","Massachusetts General Hospital|Precision Human Biolaboratories|Cambridge Health Alliance|University of Connecticut|Vanderbilt University|Psychiatric Medicine Associates, L.L.C.","All","18 Years to 65 Years   (Adult, Older Adult)",,"120","Other","Observational","Observational Model: Case-Control|Time Perspective: Prospective","2007-P-002525","April 2008","June 2010","June 2010","June 25, 2008",,"June 8, 2010","University of Connecticut Health Center, Farmington, Connecticut, United States|Psychiatric Medicine Associates, L.L.C., Chicago, Illinois, United States|Massachusetts General Hosptial, Boston, Massachusetts, United States|Cambridge Health Alliance, Cambridge, Massachusetts, United States|Vanderbilt University Medical Center, Nashville, Tennessee, United States",,"https://ClinicalTrials.gov/show/NCT00705185"
45,"NCT02657980","The Effect of tDCS in Patients With Moderate to Severe Major Depressive Disorder",,"Completed","No Results Available","Major Depressive Disorder","Device: Yband(YDT-201N)|Device: Sham-Yband(YDT-201N)","Change in depressive symptoms as assessed by the Montgomery-Asberg Depression Rating Scale (MADRS)|Effect of tDCS on Depressive Symptoms as assessed by the Montgomery-Asberg Depression Rating Scale (MADRS)|Effect of tDCS on questionnaire results as assessed by the Montgomery-Asberg Depression Rating Scale (MADRS)|Average change in results for 2, 4, 6 weeks after treatment as assessed by the clinician-rated Clinical Global Impression-Severity of Illness Scale (CGISI)|Average change in results for 2, 4, 6 weeks after treatment as assessed by Korean-Beck Depression Inventory-II (K-BDI-II)|Average change in results for 2, 4, 6 weeks after treatment as assessed by Korean-Beck Anxiety Depression Inventory (K-BAI)","Ybrain Inc.|Severance Hospital|Gangnam Severance Hospital|Myongji Hospital|CHA University|National Health Insurance Service Ilsan Hospital|Ajou University|Hallym University Medical Center","All","19 Years to 65 Years   (Adult, Older Adult)","Phase 3","96","Industry|Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","MUL003MDD","April 2015","December 2016","December 2016","January 18, 2016",,"January 26, 2017","Ybrain, Seoul, Korea, Republic of",,"https://ClinicalTrials.gov/show/NCT02657980"
46,"NCT00049972","Major Depressive Disorder Study In Adults",,"Completed","No Results Available","Major Depressive Disorder","Drug: paroxetine CR","The proportion of patients who prematurely terminated treatment due to treatment emergent adverse events|Recurrence rates of adverse events causing intolerability of previous SSRI/SNRI, Adverse event incidence rates, Mean change from baseline in the Beck Depression Inventory-II total score, Proportion of responsers based on teh CGI Global Improvement Item","GlaxoSmithKline","All","18 Years and older   (Adult, Older Adult)","Phase 4","646","Industry","Interventional","Allocation: Non-Randomized|Masking: None (Open Label)|Primary Purpose: Treatment","SB29060.833","September 2002","September 2003","September 2003","November 19, 2002",,"September 11, 2017","GSK Clinical Trial Call Center, Birmingham, Alabama, United States|GSK Clinical Trial Call Center, Birmingham, Alabama, United States|GSK Clinical Trial Call Center, Fairfield, Alabama, United States|GSK Clinical Trial Call Center, Mobile, Alabama, United States|GSK Clinical Trial Call Center, Phoenix, Arizona, United States|GSK Clinical Trial Call Center, Little Rock, Arkansas, United States|GSK Clinical Trial Call Center, Little Rock, Arkansas, United States|GSK Clinical Trial Call Center, Anaheim Hills, California, United States|GSK Clinical Trial Call Center, Anaheim, California, United States|GSK Clinical Trial Call Center, Bellflower, California, United States|GSK Clinical Trial Call Center, Cerritos, California, United States|GSK Clinical Trial Call Center, Clovis, California, United States|GSK Clinical Trial Call Center, Encino, California, United States|GSK Clinical Trial Call Center, Petaluma, California, United States|GSK Clinical Trial Call Center, Riverside, California, United States|GSK Clinical Trial Call Center, Sacramento, California, United States|GSK Clinical Trial Call Center, Sacramento, California, United States|GSK Clinical Trial Call Center, San Francisco, California, United States|GSK Clinical Trial Call Center, Temecula, California, United States|GSK Clinical Trial Call Center, Vista, California, United States|GSK Clinical Trial Call Center, Colorado Springs, Colorado, United States|GSK Clinical Trial Call Center, Wilmington, Delaware, United States|GSK Clinical Trial Call Center, Wilmington, Delaware, United States|GSK Clinical Trial Call Center, Boynton Beach, Florida, United States|GSK Clinical Trial Call Center, Delray Beach, Florida, United States|GSK Clinical Trial Call Center, Fort Myers, Florida, United States|GSK Clinical Trial Call Center, Melbourne, Florida, United States|GSK Clinical Trial Call Center, Miami, Florida, United States|GSK Clinical Trial Call Center, Ocala, Florida, United States|GSK Clinical Trial Call Center, Atlanta, Georgia, United States|GSK Clinical Trial Call Center, Idaho Falls, Idaho, United States|GSK Clinical Trial Call Center, Gurnee, Illinois, United States|GSK Clinical Trial Call Center, Greenwood, Indiana, United States|GSK Clinical Trial Call Center, Lafayette, Louisiana, United States|GSK Clinical Trial Call Center, Lake Charles, Louisiana, United States|GSK Clinical Trial Call Center, New Orleans, Louisiana, United States|GSK Clinical Trial Call Center, Prince Frederick, Maryland, United States|GSK Clinical Trial Call Center, Springfield, Massachusetts, United States|GSK Clinical Trial Call Center, Excelsior Springs, Missouri, United States|GSK Clinical Trial Call Center, Kansas City, Missouri, United States|GSK Clinical Trial Call Center, Saint Charles, Missouri, United States|GSK Clinical Trial Call Center, Saint Louis, Missouri, United States|GSK Clinical Trial Call Center, Las Vegas, Nevada, United States|GSK Clinical Trial Call Center, Reno, Nevada, United States|GSK Clinical Trial Call Center, Blackwood, New Jersey, United States|GSK Clinical Trial Call Center, Mercerville, New Jersey, United States|GSK Clinical Trial Call Center, Princeton, New Jersey, United States|GSK Clinical Trial Call Center, Carrboro, North Carolina, United States|GSK Clinical Trial Call Center, Cary, North Carolina, United States|GSK Clinical Trial Call Center, Cincinnati, Ohio, United States|GSK Clinical Trial Call Center, Cincinnati, Ohio, United States|GSK Clinical Trial Call Center, Cleveland, Ohio, United States|GSK Clinical Trial Call Center, Independence, Ohio, United States|GSK Clinical Trial Call Center, Oklahoma City, Oklahoma, United States|GSK Clinical Trial Call Center, Eugene, Oregon, United States|GSK Clinical Trial Call Center, Downingtown, Pennsylvania, United States|GSK Clinical Trial Call Center, Bartlett, Tennessee, United States|GSK Clinical Trial Call Center, Cordova, Tennessee, United States|GSK Clinical Trial Call Center, Selmer, Tennessee, United States|GSK Clinical Trial Call Center, Conroe, Texas, United States|GSK Clinical Trial Call Center, Corsicana, Texas, United States|GSK Clinical Trial Call Center, Dallas, Texas, United States|GSK Clinical Trial Call Center, DeSoto, Texas, United States|GSK Clinical Trial Call Center, Fort Worth, Texas, United States|GSK Clinical Trial Call Center, Galveston, Texas, United States|GSK Clinical Trial Call Center, Richardson, Texas, United States|GSK Clinical Trial Call Center, Sugar Land, Texas, United States|GSK Clinical Trial Call Center, West Valley City, Utah, United States|GSK Clinical Trial Call Center, Lebanon, Virginia, United States|GSK Clinical Trial Call Center, Richmond, Virginia, United States|GSK Clinical Trial Call Center, Kirkland, Washington, United States",,"https://ClinicalTrials.gov/show/NCT00049972"
47,"NCT01742832","Double-Blind Treatment of Major Depressive Disorder With Vilazodone",,"Completed","Has Results","Major Depressive Disorder","Drug: Vilazodone|Drug: Citalopram","Montgomery-Åsberg Depression Rating Scale (MADRS)","University of Chicago","All","18 Years to 60 Years   (Adult)","Phase 2","79","Other","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Triple (Participant, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","2012MDDVilaz","May 2013","March 2016","March 2016","December 5, 2012","May 30, 2017","May 30, 2017","University of Chicago, Chicago, Illinois, United States",,"https://ClinicalTrials.gov/show/NCT01742832"
